,UNIT_ID,ALARM_DATE,CONT_DATE,CAUSE,SHAPE_Area,NumberOfDays
192,LAC,2020-06-08 00:00:00+00:00,2020-06-09 00:00:00+00:00,11 - Powerline,-499137.7246,1 days
193,LAC,2020-06-12 00:00:00+00:00,2020-06-13 00:00:00+00:00,14 - Unkown / Unidentified,-116613.9327,1 days
194,LAC,2020-07-05 00:00:00+00:00,2020-07-07 00:00:00+00:00,9 - Miscellaneous,-9101965.337,2 days
195,LAC,2020-07-27 00:00:00+00:00,2020-07-28 00:00:00+00:00,14 - Unkown / Unidentified,-1928676.703,1 days
196,LAC,2020-08-01 00:00:00+00:00,2020-08-01 00:00:00+00:00,14 - Unkown / Unidentified,-1066001.352,0 days
197,LAC,2020-08-11 00:00:00+00:00,2020-08-11 00:00:00+00:00,10 - Vehicle,-158196.2005,0 days
198,LAC,2020-06-21 00:00:00+00:00,2020-06-21 00:00:00+00:00,14 - Unkown / Unidentified,-281528.8587,0 days
199,LAC,2020-07-05 00:00:00+00:00,2020-07-05 00:00:00+00:00,14 - Unkown / Unidentified,-70801.62416,0 days
201,LAC,2020-08-16 00:00:00+00:00,2020-08-16 00:00:00+00:00,14 - Unkown / Unidentified,-555083.9766,0 days
202,LAC,2020-08-28 00:00:00+00:00,2020-08-29 00:00:00+00:00,10 - Vehicle,-1750755.322,1 days
203,LAC,2020-10-09 00:00:00+00:00,2020-10-09 00:00:00+00:00,5 - Debris,-77284.2189,0 days
204,LAC,2020-08-22 00:00:00+00:00,2020-08-22 00:00:00+00:00,14 - Unkown / Unidentified,-74128.74636,0 days
205,LAC,2020-09-28 00:00:00+00:00,2020-09-28 00:00:00+00:00,9 - Miscellaneous,-82643.69591,0 days
206,LAC,2020-11-06 00:00:00+00:00,2020-11-06 00:00:00+00:00,7 - Arson,-759180.5609,0 days
307,LAC,2020-08-03 00:00:00+00:00,2020-08-03 00:00:00+00:00,14 - Unkown / Unidentified,-947991.448,0 days
434,LAC,2020-07-22 00:00:00+00:00,2020-07-22 00:00:00+00:00,11 - Powerline,-15481.34545,0 days
435,LAC,2020-05-21 00:00:00+00:00,2020-05-21 00:00:00+00:00,10 - Vehicle,-17928.36868,0 days
436,LAC,2020-07-13 00:00:00+00:00,2020-07-13 00:00:00+00:00,11 - Powerline,-7389.665728,0 days
437,LAC,2020-06-09 00:00:00+00:00,2020-06-09 00:00:00+00:00,14 - Unkown / Unidentified,-36841.31199,0 days
438,LAC,2020-06-11 00:00:00+00:00,2020-06-11 00:00:00+00:00,2 - Equipment Use,-39807.83094,0 days
439,LAC,2020-06-04 00:00:00+00:00,2020-06-04 00:00:00+00:00,14 - Unkown / Unidentified,-20568.6692,0 days
440,LAC,2020-07-05 00:00:00+00:00,2020-07-05 00:00:00+00:00,14 - Unkown / Unidentified,-42477.21206,0 days
441,LAC,2020-06-30 00:00:00+00:00,2020-06-30 00:00:00+00:00,2 - Equipment Use,-25169.72398,0 days
442,LAC,2020-08-14 00:00:00+00:00,2020-08-14 00:00:00+00:00,14 - Unkown / Unidentified,-10619.93225,0 days
443,LAC,2020-09-08 00:00:00+00:00,2020-09-08 00:00:00+00:00,10 - Vehicle,-39790.86236,0 days
444,LAC,2020-09-11 00:00:00+00:00,2020-09-11 00:00:00+00:00,14 - Unkown / Unidentified,-49643.25251,0 days
445,LAC,2020-09-26 00:00:00+00:00,2020-09-26 00:00:00+00:00,10 - Vehicle,-18110.94801,0 days
446,LAC,2020-10-10 00:00:00+00:00,2020-10-10 00:00:00+00:00,14 - Unkown / Unidentified,-56945.38506,0 days
447,LAC,2020-11-13 00:00:00+00:00,2020-11-13 00:00:00+00:00,9 - Miscellaneous,-7310.735501,0 days
448,LAC,2020-12-13 00:00:00+00:00,2020-12-13 00:00:00+00:00,11 - Powerline,-42854.96531,0 days
449,LAC,2020-12-20 00:00:00+00:00,2020-12-20 00:00:00+00:00,11 - Powerline,-8908.938619,0 days
500,LAC,2007-10-21 00:00:00+00:00,2007-10-23 00:00:00+00:00,14 - Unkown / Unidentified,-153290.0747,2 days
501,LAC,2007-10-22 00:00:00+00:00,2007-10-25 00:00:00+00:00,14 - Unkown / Unidentified,-16834546.77,3 days
503,LAC,2007-09-11 00:00:00+00:00,2007-09-11 00:00:00+00:00,14 - Unkown / Unidentified,-1028760.849,0 days
504,LAC,2007-11-24 00:00:00+00:00,2007-11-27 00:00:00+00:00,14 - Unkown / Unidentified,-27826958.37,3 days
505,LAC,2007-05-19 00:00:00+00:00,2007-05-22 00:00:00+00:00,14 - Unkown / Unidentified,-14266522.28,3 days
506,LAC,2007-07-07 00:00:00+00:00,2007-07-08 00:00:00+00:00,14 - Unkown / Unidentified,-1474671.398,1 days
507,LAC,2007-08-13 00:00:00+00:00,2007-08-14 00:00:00+00:00,14 - Unkown / Unidentified,-484113.801,1 days
508,LAC,2007-08-21 00:00:00+00:00,2007-08-23 00:00:00+00:00,14 - Unkown / Unidentified,-563161.4241,2 days
509,LAC,2007-10-21 00:00:00+00:00,2007-10-21 00:00:00+00:00,14 - Unkown / Unidentified,-180152.7346,0 days
510,LAC,2007-10-22 00:00:00+00:00,2007-10-23 00:00:00+00:00,14 - Unkown / Unidentified,-263363.3451,1 days
521,LAC,2007-04-12 00:00:00+00:00,2007-04-13 00:00:00+00:00,14 - Unkown / Unidentified,-464902.2987,1 days
522,LAC,2007-05-10 00:00:00+00:00,2007-05-17 00:00:00+00:00,14 - Unkown / Unidentified,-27470950.24,7 days
524,LAC,2007-09-01 00:00:00+00:00,2007-09-08 00:00:00+00:00,14 - Unkown / Unidentified,-1269857.546,7 days
528,LAC,2007-10-23 00:00:00+00:00,2007-10-25 00:00:00+00:00,14 - Unkown / Unidentified,-232823.7202,2 days
546,LAC,2007-03-30 00:00:00+00:00,2007-03-31 00:00:00+00:00,8 - Playing with fire,-1328555.596,1 days
551,LAC,2007-05-09 00:00:00+00:00,2007-05-09 00:00:00+00:00,9 - Miscellaneous,-1829.245277,0 days
563,LAC,2007-08-14 00:00:00+00:00,2007-08-14 00:00:00+00:00,14 - Unkown / Unidentified,-29371.53335,0 days
564,LAC,2007-06-21 00:00:00+00:00,2007-06-21 00:00:00+00:00,9 - Miscellaneous,-4787.43416,0 days
565,LAC,2007-07-03 00:00:00+00:00,2007-07-03 00:00:00+00:00,2 - Equipment Use,-3042.237956,0 days
566,LAC,2007-08-05 00:00:00+00:00,2007-08-05 00:00:00+00:00,10 - Vehicle,-552.8147503,0 days
567,LAC,2007-10-07 00:00:00+00:00,2007-10-07 00:00:00+00:00,7 - Arson,-11930.50456,0 days
568,LAC,2007-11-03 00:00:00+00:00,2007-11-03 00:00:00+00:00,9 - Miscellaneous,-99.38795867,0 days
614,LAC,2007-09-02 00:00:00+00:00,2007-09-02 00:00:00+00:00,1 - Lightning,-12651429.68,0 days
762,LAC,2007-10-21 00:00:00+00:00,2007-10-21 00:00:00+00:00,8 - Playing with fire,-229093053.5,0 days
855,LAC,2005-07-05 00:00:00+00:00,2005-07-08 00:00:00+00:00,14 - Unkown / Unidentified,-5879855.383,3 days
4111,LAC,2004-09-05 00:00:00+00:00,2004-09-06 00:00:00+00:00,7 - Arson,-1603892.889,1 days
4112,LAC,2004-07-17 00:00:00+00:00,2004-07-25 00:00:00+00:00,7 - Arson,-35544462.02,8 days
4114,LAC,2004-05-03 00:00:00+00:00,2004-05-04 00:00:00+00:00,9 - Miscellaneous,-540784.4603,1 days
4115,LAC,2004-07-12 00:00:00+00:00,2004-07-23 00:00:00+00:00,9 - Miscellaneous,-97749222.65,11 days
11555,LAC,2006-08-25 00:00:00+00:00,2006-08-25 00:00:00+00:00,14 - Unkown / Unidentified,-2233987.394,0 days
11556,LAC,2006-07-23 00:00:00+00:00,2006-07-23 00:00:00+00:00,14 - Unkown / Unidentified,-1158290.492,0 days
11602,LAC,2003-01-06 00:00:00+00:00,2003-01-10 00:00:00+00:00,13 - Non-Firefighter Training,-4760533.313,4 days
11603,LAC,2003-01-06 00:00:00+00:00,2003-01-06 00:00:00+00:00,13 - Non-Firefighter Training,-831471.8619,0 days
11604,LAC,2003-06-06 00:00:00+00:00,2003-06-06 00:00:00+00:00,11 - Powerline,-663502.9717,0 days
11605,LAC,2003-07-05 00:00:00+00:00,2003-07-05 00:00:00+00:00,8 - Playing with fire,-904821.3663,0 days
11606,LAC,2003-09-02 00:00:00+00:00,2003-09-02 00:00:00+00:00,11 - Powerline,-130702.5794,0 days
11607,LAC,2003-07-24 00:00:00+00:00,2003-07-27 00:00:00+00:00,11 - Powerline,-12196542.85,3 days
11608,LAC,2003-08-23 00:00:00+00:00,2003-08-23 00:00:00+00:00,16 - Aircraft,-1817456.529,0 days
11609,LAC,2003-09-27 00:00:00+00:00,2003-09-27 00:00:00+00:00,16 - Aircraft,-1053417.21,0 days
11610,LAC,2003-10-13 00:00:00+00:00,2003-10-13 00:00:00+00:00,2 - Equipment Use,-2140447.217,0 days
12359,LAC,2006-07-22 00:00:00+00:00,2006-07-25 00:00:00+00:00,14 - Unkown / Unidentified,-6190967.453,3 days
12360,LAC,2006-08-13 00:00:00+00:00,2006-08-17 00:00:00+00:00,14 - Unkown / Unidentified,-28697945.19,4 days
12361,LAC,2006-07-22 00:00:00+00:00,2006-07-22 00:00:00+00:00,14 - Unkown / Unidentified,-869486.1141,0 days
