,abbreviation,ages,year,population,state,area (sq. mi),population density
3,AL,total,2010,4785570.0,Alabama,52423,91.28760276977663
91,AK,total,2010,713868.0,Alaska,656425,1.087508854781582
101,AZ,total,2010,6408790.0,Arizona,114006,56.214497482588634
189,AR,total,2010,2922280.0,Arkansas,53182,54.94866684216464
197,CA,total,2010,37333601.0,California,163707,228.051341726377
283,CO,total,2010,5048196.0,Colorado,104100,48.49371757925072
293,CT,total,2010,3579210.0,Connecticut,5544,645.6006493506494
379,DE,total,2010,899711.0,Delaware,1954,460.4457523029683
389,DC,total,2010,605125.0,District of Columbia,68,8898.89705882353
475,FL,total,2010,18846054.0,Florida,65758,286.59712886644974
485,GA,total,2010,9713248.0,Georgia,59441,163.40990225601857
570,HI,total,2010,1363731.0,Hawaii,10932,124.7467069154775
581,ID,total,2010,1570718.0,Idaho,83574,18.79433795199464
666,IL,total,2010,12839695.0,Illinois,57918,221.68747194309196
677,IN,total,2010,6489965.0,Indiana,36420,178.19783086216364
762,IA,total,2010,3050314.0,Iowa,56276,54.20275072855213
773,KS,total,2010,2858910.0,Kansas,82282,34.745266279380665
858,KY,total,2010,4347698.0,Kentucky,40411,107.58699364034545
869,LA,total,2010,4545392.0,Louisiana,51843,87.67609899118493
954,ME,total,2010,1327366.0,Maine,35387,37.50998954418289
965,MD,total,2010,5787193.0,Maryland,12407,466.44579672765377
1050,MA,total,2010,6563263.0,Massachusetts,10555,621.8155376598768
1061,MI,total,2010,9876149.0,Michigan,96810,102.01579382295218
1146,MN,total,2010,5310337.0,Minnesota,86943,61.078373187030586
1157,MS,total,2010,2970047.0,Mississippi,48434,61.321530329933516
1242,MO,total,2010,5996063.0,Missouri,69709,86.01562208610079
1253,MT,total,2010,990527.0,Montana,147046,6.736170994110687
1338,NE,total,2010,1829838.0,Nebraska,77358,23.65415341658264
1349,NV,total,2010,2703230.0,Nevada,110567,24.44879575280147
1434,NH,total,2010,1316614.0,New Hampshire,9351,140.7992728050476
1445,NJ,total,2010,8802707.0,New Jersey,8722,1009.2532675991745
1530,NM,total,2010,2064982.0,New Mexico,121593,16.982737493112268
1541,NY,total,2010,19398228.0,New York,54475,356.09413492427717
1626,NC,total,2010,9559533.0,North Carolina,53821,177.61715687185298
1637,ND,total,2010,674344.0,North Dakota,70704,9.537565059968319
1722,OH,total,2010,11545435.0,Ohio,44828,257.5496341572232
1733,OK,total,2010,3759263.0,Oklahoma,69903,53.77827847159635
1818,OR,total,2010,3837208.0,Oregon,98386,39.00156526335048
1829,PA,total,2010,12710472.0,Pennsylvania,46058,275.9666507447132
1914,RI,total,2010,1052669.0,Rhode Island,1545,681.3391585760518
1925,SC,total,2010,4636361.0,South Carolina,32007,144.85459430749523
2010,SD,total,2010,816211.0,South Dakota,77121,10.58351162458993
2021,TN,total,2010,6356683.0,Tennessee,42146,150.82529777440325
2106,TX,total,2010,25245178.0,Texas,268601,93.98765455080212
2117,UT,total,2010,2774424.0,Utah,84904,32.677188353905585
2202,VT,total,2010,625793.0,Vermont,9615,65.08507540301612
2213,VA,total,2010,8024417.0,Virginia,42769,187.62227314176155
2298,WA,total,2010,6742256.0,Washington,71303,94.55781664165603
2309,WV,total,2010,1854146.0,West Virginia,24231,76.51958235318394
2394,WI,total,2010,5689060.0,Wisconsin,65503,86.85189991298108
2405,WY,total,2010,564222.0,Wyoming,97818,5.768079494571551
2490,PR,total,2010,3721208.0,Puerto Rico,3515,1058.6651493598863
